Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,To prevent and manage skin aging signs effectively,Functional,The user seeks products with ingredients like exosomes and telomere-supporting compounds to slow down aging processes and maintain youthful skin.,"Security, longevity, control",High,Document_001,"[""C'est un truc logomagique. Ça t'as été écouté la dernière fois, c'est hyper."", ""En fait, ce qui gênère ce qui crée de la peau-ptose de la mort de la cellule, c'est le fait que le télomer soit arrivé à terme."", 'En préservant la longueur de nos télomères, on permet de continuer de se diviser, de faire de nouvelles cellules. Et donc, de retarder la forptoise.']","['anti-aging', 'telomeres', 'exosomes', 'longevity', 'prevention']"
true,"To experience visible improvements and manage specific skin issues like acne, pigmentation, or inflammation",Functional,"The user is motivated by treatments that visibly reduce blemishes, pigmentation, or inflammation, and help control chronic skin conditions.","Relief, security, aesthetic satisfaction",High,Document_001,"[""Tu ne peux pas les faire toi même, clairement, parce que c'est très puissant, c'est des lèdes rouges, et ça traite l'inflammation."", ""J'ai plus les boutons, tu as même une main, en fait, du gros genre, tu le disais, quand on est discuté."", 'Ça ne me dit pas, non seulement, ça ne les a pas modifié, ça ne me dit pas, non seulement, ça ne les a pas modifié, ça ne me dit pas, non seulement, ça ne les a pas modifié.']","['acne', 'pigmentation', 'inflammation', 'treatment', 'visible results']"
true,To protect skin from sun damage and prevent premature aging,Functional,"The user desires effective sunscreen with high SPF that offers strong protection against UV rays, preventing photoaging and skin damage.","Security, health, control",Critical,Document_001,"[""J'ai cherché très longtemps, une très bonne très meselaire. C'était pas facile, j'avais envie d'en trouver un, et là, ce qui ne se t'y calce, mineral, défense, toi, tout ça, et tout ça."", ""Je ne mets que 50, du début, j'y dis que la fin de l'été, et pourtant, tu vois, je suis toujours bronzée, etc."", ""Sur ça, tout ce que j'ai... je suis en train de me dire, qu'il est 22 heures de, il nous reste 2 minutes, et on va couper, donc...""]","['sun protection', 'SPF', 'UV rays', 'prevent aging', 'health']"
true,To feel confident and comfortable in social and personal interactions,Emotional,"The user seeks solutions that improve appearance, reduce visible skin issues, and boost confidence in social settings.","Belonging, esteem, security",High,Document_001,"['Ça a participé aussi, je pense.', ""En parlant avec Noël, c'est que ça dépendait, détâche justement, j'en ai parlé à lui, j'en ai parlé aussi un dermatologistie."", 'Ça ne me dit pas, non seulement, ça ne les a pas modifié, ça ne me dit pas, non seulement, ça ne les a pas modifié, ça ne me dit pas, non seulement, ça ne les a pas modifié.']","['confidence', 'appearance', 'self-esteem', 'social acceptance']"
true,To achieve a sculpted and lifted facial appearance,Functional,"The user is engaging in facial exercises and treatments to improve the shape and lift of specific facial areas like the cheeks and jaw, aiming for a more defined look through consistent use of devices and techniques.",Control over personal appearance and physical enhancement,Critical for self-image and confidence,User interview excerpt,"['focus more on areas where I like really want that sculpt to the cheek', 'Places where I want to lift', ""It's all about consistency with these types of treatments""]","['facial sculpting', 'lift', 'consistency', 'beauty routine']"
true,To simplify skincare routines and achieve visible results quickly,Functional,"The user prefers devices and products that are easy to use and provide guaranteed results, valuing speed and simplicity in maintaining their skincare routine.",Efficiency and convenience in self-care,Strong driver,Comments and review snippets about skincare devices,"['fast, simple, results guarantied', 'only a couple of minutes (I use this device in the morning)', 'pretty intuitive']","['ease of use', 'efficiency', 'quick results', 'skincare routine']"
true,"To maintain healthy, hydrated, and barrier-protected skin",Functional,"The user seeks products that support skin barrier health, hydration, and overall skin wellness, especially when facing issues like dryness or damage.",Skin health and protection,Critical for skin comfort and resilience,Barrier repair product review,"['damaged skin barrier — tightness, flakiness, redness', 'barrier-supportive serums', 'locks in moisture and supports firmness']","['skin barrier', 'hydration', 'protection', 'skin health']"
true,"To use clean, non-toxic, and environmentally friendly skincare products",Emotional,"The user is motivated by a desire to choose products that are safe for their skin and the planet, emphasizing natural ingredients and sustainability.",Security and ethical responsibility,Important for personal values and peace of mind,Kimaya and natural skincare posts,"['ingredients your skin understands—clean, kind, and conscious', 'better for the planet', 'vegan, cruelty-free, organic']","['clean beauty', 'sustainability', 'natural ingredients', 'ethical skincare']"
true,To look and feel relaxed and refreshed,Emotional,"The user seeks products that provide a cooling, hydrating, and soothing experience, especially during hot weather or after skincare routines, to enhance their overall sense of well-being.",Enjoyment and relief from heat or stress,Minor but recurring motivation,Summer skincare posts,"['cooling and hydrating products lately', 'Drop the word REFRESH', 'Stay encouraged']","['refreshing', 'hydration', 'cooling', 'summer skincare']"
true,"To improve skin appearance and address specific skin concerns like breakouts, dryness, or scars",Functional,"The user is motivated to find effective skincare solutions tailored to their skin issues, seeking products and routines that target specific conditions for better skin health and confidence.",Effective problem-solving and confidence,Strong driver,Skincare product recommendation posts,"['solutions for every skin type and concern', 'barrier-repair trio for skin health', 'what your skin needs']","['skin concerns', 'targeted skincare', 'problem-solving', 'confidence']"
true,To make informed and conscious choices regarding skincare and beauty products,Emotional,"The user is driven by the desire to understand their skin better and select products based on trust, transparency, and education, often seeking professional advice or detailed information.",Knowledge and empowerment,Important for self-confidence and satisfaction,Educational posts and consultations offered,"['drop a comment or DM me for a free consultation', 'understand your skin type better', 'educate you with the right knowledge']","['education', 'empowerment', 'conscious choices', 'skin understanding']"
true,To achieve healthy glowing skin,Emotional,"Users are motivated by the desire to improve their skin's appearance and health, seeking knowledge and solutions to address skin concerns for a radiant glow.","Desire for beauty, confidence, and self-care",Critical driver,Post with skin analyzer consultation,"['Let’s help your skin glow the way it deserves!', 'we don’t just identify your skin concerns—we educate you with the right knowledge and guide you toward the best solutions']","['skin health', 'beauty', 'self-care', 'glow', 'education']"
true,To use natural and effective skincare ingredients,Functional,"Users seek natural, antioxidant-rich ingredients like Karanja oil for skin protection and health benefits, driven by a preference for clean, eco-friendly products.","Desire for safety, effectiveness, and environmental consciousness",Major consideration,Post about Karanja oil,"['Karanjaöl, gewonnen aus den Samen des Karanja-Baums, ist ein echter Geheimtipp in der Naturkosmetik.', 'Es ist reich an Antioxidantien, wirkt entzündungshemmend und kann die Hautbarriere stärken.']","['natural ingredients', 'Karanja oil', 'skincare', 'antioxidants', 'eco-friendly']"
true,To maintain fresh and odor-free body naturally,Emotional,"Users are driven by the desire to stay fresh and free from body odor using natural methods like hydration and antibacterial foods, avoiding chemicals and synthetic products.","Relief from odor, health, and safety",Very strong driver,Post about natural deodorant and lemon benefits,"['Hydration plays a huge role in body odor.', 'Lemons are a natural antibacterial...they neutralize the actual source of odor.', 'I haven’t worn deodorant in years! I’m convinced it’s definitely due to diet & clean living ✨']","['body odor', 'natural deodorant', 'hydration', 'lemon', 'antibacterial']"
true,"To find a safe, chemical-free alternative to traditional deodorants",Functional,"Users seek natural, non-toxic deodorants free from harmful chemicals like aluminum, choosing options like mineral salts, witch hazel, or homemade salt solutions.","Safety, health, and avoiding chemical exposure",Major driver,Multiple posts about natural deodorants and DIY methods,"['Just buy “Crystal” deodorant! It has only 1 ingredient that is mineral salt.', 'Homemade salt solutions and alum stones are effective natural options.', 'I used to use those too, but this works better I think!']","['natural deodorant', 'chemical-free', 'crystal salt', 'DIY', 'safety']"
true,To feel confident and comfortable without harmful chemicals,Emotional,"Users desire confidence in their personal hygiene routine, feeling good about using non-toxic, natural products that do not irritate the skin or cause health concerns.","Self-confidence, safety, skin comfort",Critical,Post about avoiding irritants and toxic chemicals,"['Tired of deodorants that bum, itch or simply don’t work?', 'No toxins, no artificial fragrances. Just what your skin really needs.', 'I stopped using deodorants because I was concerned about the chemicals leaching into my milk.']","['confidence', 'skin comfort', 'toxin-free', 'self-care', 'safety']"
true,To improve skin health and appearance through education and proper solutions,Emotional,"Users are motivated by the desire to learn about their skin and to resolve issues effectively, seeking guidance that leads to healthier and more radiant skin.","Knowledge, control over skin health, confidence",Important,Post about skin consultation and education,"['We don’t just identify your skin concerns—we educate you with the right knowledge', 'Let’s help your skin glow the way it deserves!']","['skin education', 'health', 'confidence', 'knowledge', 'self-improvement']"
true,To find accessible ways to purchase natural health and wellness products.,Functional,"Users are driven by the need to easily locate and buy specific health-related products like deodorants and supplements, often seeking online platforms or local stores, especially in different countries.",Convenience and access to desired products.,Critical,Various social media comments and posts,"['¿Dónde la consigo', 'Dónde se puede comprar?', 'Lo compro en Amazon']","['purchase', 'availability', 'product location', 'online shopping', 'access']"
true,To feel confident and fresh by using natural deodorants.,Emotional,"Users seek natural deodorants to avoid chemicals and feel good about their body odor, emphasizing health, safety, and personal confidence.",Security and self-esteem,Strong,Posts about homemade and store-bought natural deodorants,"['Say it with your pits. No aluminum. No parabens. No BS.', 'This DIY-Deo with Kokosöl, Natron, Maisstärke & ätherischen Ölen ist...', 'I love that spray bottle!! I need DoTerra in my life']","['confidence', 'natural', 'odor control', 'self-esteem', 'health']"
true,To improve personal health and wellness from within.,Emotional,"Users are motivated by internal health benefits, such as detox, gut health, and overall wellness, often through natural supplements like chlorophyll and magnesium.",Well-being and vitality,Major,"Posts discussing chlorophyll, magnesium flakes, and detox routines","['liquid chlorophyll might be your new best friend', 'Clarke feel helps to neutralize odor-causing compounds in your body by supporting liver detox', 'Magnesium for the win!']","['detox', 'gut health', 'internal deodorant', 'wellness', 'detox routines']"
true,To avoid chemicals and toxins in personal care products.,Emotional,"Users prefer homemade or natural products to eliminate exposure to potentially harmful chemicals like aluminum, parabens, and synthetic ingredients.",Safety and health,Critical,Posts about DIY deodorants and chemical-free products,"['Aluminiumfrei', 'No parabens. No BS.', 'DIY-Deo mit Kokosöl, Natron, Maisstärke & ätherischen Ölen']","['chemical-free', 'safe', 'natural', 'DIY', 'healthy']"
true,To connect with nature and live sustainably.,Social,"Users are motivated by a desire to live eco-friendly, sustainable lives, making products at home or choosing brands that support environmental causes.",Belonging and environmental responsibility,Important,"Posts about zero waste, eco-friendly refills, and self-made products","['sustainable products', 'saved +120 tonnes of single-use deodorants', 'zerowaste']","['sustainability', 'eco-friendly', 'zero waste', 'environment', 'community']"
true,To support self-sufficiency and DIY culture.,Social,"Users are driven by the satisfaction of making their own products, believing it ensures purity and control over ingredients, and aligns with a lifestyle of self-reliance.",Autonomy and mastery,Moderate,Posts sharing homemade deodorant recipes and DIY routines,"['I’d rather make it myself', 'quick and easy these days', 'learning how to make things at home']","['DIY', 'self-made', 'autonomy', 'skills', 'control']"
true,To achieve a sense of confidence and freshness throughout the day,Emotional,"Users want to feel confident, refreshed, and odor-free, especially during long, active, or stressful days, to improve their self-esteem and comfort.","Desire for self-confidence, cleanliness, and comfort",Critical driver,Transcript of Bella Skin Beauty giveaway post,"[""I can't live without this toner anymore. The only product that really worked for me."", 'Stressful/long work days and workouts don’t stand a chance against this toner!', 'Helps my natural deodorant last longer and keeps the smell away']","['confidence', 'odor control', 'freshness', 'self-esteem', 'long-lasting']"
true,To find natural and safe deodorant options that are gentle and effective,Functional,Users seek deodorants made from natural ingredients without harmful chemicals to avoid skin irritation and hormonal disruption while maintaining effectiveness.,"Safety, health, and natural living",Major motivation,Comments on natural deodorants and posts about safe ingredients,"['Always looking for something natural/healthy for underarms.', 'Love natural deodorant @eleniihatjikyriakou', 'This stuff works great! Makes my natural deodorant way more effective']","['natural', 'safe', 'chemical-free', 'healthy', 'effective']"
true,"To reduce environmental impact by choosing eco-friendly, biodegradable packaging",Emotional/Social,Users are motivated by a desire to support sustainability and reduce plastic waste by selecting products in biodegradable and eco-friendly containers.,Environmental responsibility and contribution to sustainability,Moderate but growing importance,Corlie Mortimer's post about vegan-friendly deodorants,"['All natural and in biodegradable tubes. Talk about going green.', 'New vegan friendly 80ml deodorants now available online 🌎🩷🌎', '#plasticfreeoceans']","['eco-friendly', 'biodegradable', 'sustainable', 'green', 'environment']"
true,"To feel connected and bonded with their baby by using natural, non-intrusive products",Emotional,"Pregnant or breastfeeding users want to avoid synthetic chemicals that could interfere with hormonal health or bonding, seeking natural products that support safe motherhood and closeness.","Safety, nurturing, and bonding",High importance during postpartum/breastfeeding,Post about breastfeeding-friendly deodorant,"['Your scent is more powerful than you realize. Conventional deodorants can mask your natural aroma—something your baby deeply relies on for bonding and breastfeeding.', 'A safer, gentler alternative for postpartum and breastfeeding moms', 'Letting your baby smell you, not your deodorant']","['bonding', 'natural', 'gentle', 'safe', 'postpartum']"
true,To improve physical health by detoxing and maintaining hormonal balance,Functional/Emotional,"Users are motivated by the desire to cleanse their bodies, reduce odors naturally, and support hormonal health through non-toxic, plant-based products.","Health, detoxification, hormonal balance",Major driver,TikTok review of internal deodorant pills,"['Estos son un desodorante interno natural, están súper virales aquí en TikTok porque te pueden ayudar a limpiar todo tu organismo de adentro hacia afuera.', 'Esto te va a quitar todos los olores del cuerpo.', 'Te ayuda a sanar tu intestino y a votar todo eso que tienes acumulado.']","['detox', 'internal deodorant', 'health', 'hormonal balance', 'natural']"
true,"To save time and avoid inconvenience by using effective, long-lasting deodorant products",Functional,"Users want deodorants that work efficiently throughout the day without reapplication, simplifying their routine and reducing stress about odor or freshness.","Convenience, efficiency, time-saving",Important consideration,Comments about long-lasting odor control and effectiveness,"['Makes my natural deodorant way more effective', 'I no longer have to carry my deodorant with me nor reapply multiple times a day', 'Helps my natural deodorant last longer']","['long-lasting', 'efficiency', 'convenience', 'time-saving', 'reliability']"
true,To avoid relying on store-bought deodorants that I find overpriced and potentially harmful.,Functional,"The user expresses a desire to make their own deodorant as a response to dissatisfaction with commercial products, highlighting concerns about cost and quality.",Cost-effectiveness and control over ingredients,Critical driver,NZjVkT2RmK669kPnXDdgSK2iYQqs5dpnK_Vn3kRBt_Fh--TU2ZQ6NzG4VMAwtVAf2U9CQ9Tw.mp4,"[""I never buying deer from the store again and greedy it's a terrible and it's overpriced."", ""We're gonna make homemade deodorant."", ""This is better than any natural deodorant I've bought in the store.""]","['DIY deodorant', 'cost-saving', 'natural ingredients', 'personal control']"
true,To improve my health by avoiding chemicals and toxins found in conventional deodorants.,Emotional,"The user is motivated by health concerns, wanting to ditch harmful chemicals and choose natural alternatives for their well-being.",Health safety and toxin-free living,Critical driver,post_id:3687731053376781454,"['Ditch the toxins and freshen up the natural way with magnesium spray!', 'Still masking odors with chemical-filled deodorants? Maybe your body is telling you something!', 'Magnesium deficiency could be the real issue.']","['natural deodorant', 'toxins', 'health', 'magnesium']"
true,To feel confident and fresh throughout the day without relying on synthetic or chemical products.,Emotional,"The user seeks a natural solution that provides long-lasting freshness and confidence, avoiding the discomfort or health risks associated with commercial deodorants.",Personal hygiene and self-confidence,Major driver,post_id:3387713466325336741,"['Why Switch to Natural Deodorant? ... keeping odors at bay.', 'Stays Dry: Keeps you dry without blocking sweat glands.', 'Apply a pea-sized amount to each underarm.']","['confidence', 'freshness', 'odor control', 'natural ingredients']"
true,"To find a simple, effective, and chemical-free alternative to store-bought deodorants that suits my skin and lifestyle.",Functional,"The user wants an easy-to-make, safe, and effective deodorant recipe that avoids skin irritation and staining clothes, emphasizing simplicity and naturalness.",Convenience and skin safety,Major driver,post_id:3692034901213813801,"['I make my own ... and then you are left with this super creamy, all natural leodering, which will keep you dry and moisturized.', 'Love these natural ideas! But I wonder if lemon juice works?', 'How long does it last?']","['DIY deodorant', 'natural', 'simple', 'skin safety']"
true,"To eliminate body odor naturally using readily available household items like lemon juice, without resorting to chemical products.",Emotional,"The user is motivated by a desire for a quick, natural, and inexpensive way to control body odor, leveraging natural remedies such as lemon juice.","Health, simplicity, cost-saving",Minor to moderate driver,post_id:3410909678890125983,"['Knowing lemon juice can eliminate body odor ... effective almost immediately.', 'Avoid applying directly after shaving since the high acidity will sting.', 'Body odor was one of the things that disappeared after I tossed the toxins in 2008.']","['natural odor control', 'lemon juice', 'DIY', 'cost-effective']"
true,To find a natural and effective way to eliminate body odor without synthetic products.,Functional,"The user is seeking a DIY, natural solution for deodorizing that avoids store-bought chemicals, driven by concerns over safety, health, and environmental impact.","Safety, health, and control over ingredients.","Critical, as it addresses health and safety concerns.",User Interview - Home Remedies - Health Tips,"[""I never buying deer from the store again and greedy it's a terrible and it's overpriced."", ""We're gonna make homemade deodorant."", 'I’m going to try it but I can only think about mosquitoes.']","['natural deodorant', 'DIY', 'health', 'safety', 'environment']"
true,To feel confident and fresh in hot and humid conditions without relying on conventional deodorants.,Emotional,"The user desires to maintain freshness and confidence during extreme heat and humidity, especially after trying various products and experiencing issues.",Belonging and self-confidence.,Important for personal comfort and social confidence.,User Comments - Natural Deodorant Experience,"['Most natural deodorants truly have not worked for me, but I’ve been pretty impressed with Primally Pure.', 'I live in AZ. So I hear you!', 'It works the best out of the natural ones I’ve tried.']","['confidence', 'freshness', 'humidity', 'self-esteem', 'personal comfort']"
true,To avoid skin irritation and burns caused by certain DIY deodorant ingredients and sun exposure.,Emotional,"The user is motivated to protect their skin from burns and rashes resulting from improper DIY practices, especially with acidic substances like lemon and sun exposure.",Safety and skin health.,"Critical, due to potential for serious skin damage.",User Comments - Lemon and Skin Safety,"['Nooo….. you can get such a bad rash like this. Especially in this heat.', 'Yup lime and lemon are my favorite deodorants especially when in a pinch.', 'Don’t do this if you JUST shaved your armpits. I did that and it burnnnsssss.']","['skin safety', 'burns', 'rash', 'sun exposure', 'DIY risks']"
true,"To reduce reliance on commercial deodorants and find a more natural, less chemical-dependent alternative.",Functional,"The user aims to transition away from store-bought deodorants, seeking homemade or natural solutions to minimize chemical exposure.","Health, environmental consciousness, and autonomy.","Major, as it guides lifestyle and product choices.",User post about DIY deodorant recipe,"['I also don’t trust most things sold on shelves so I’ve been learning how to make things at home.', 'I’d rather make it myself’ era so I figured why not make a series out of it.', 'It’s been the best decision ever.']","['natural', 'DIY', 'chemical-free', 'autonomy', 'health']"
true,To achieve personal wellness and control over body odor through natural health practices.,Emotional,"The user is motivated by a desire to feel healthy and in control of their body’s detox processes, especially during weight loss or detoxification phases.","Wellness, self-control, and self-efficacy.","Important, especially in context of health challenges.",Comments about detoxing and weight loss,"['I am potentially detoxing a bit more from my fat cells as they shrink.', 'It makes sense in my brain.', 'I’ve been loving Crystal deodorant off Amazon. I love the price and I hardly ever smell which is a first for natural deodorant.']","['wellness', 'detox', 'self-control', 'health', 'self-efficacy']"
true,"To achieve clear, healthy skin.",Functional,"Users are motivated by the desire to improve their skin condition, reduce imperfections, and maintain a youthful appearance based on their skincare routines and product choices.","Skin health, appearance, and confidence.",Critical for self-esteem and confidence.,Transcript of Kristin Sherwood's skincare comments,"['Your skin is glowing!', 'This product sounds perfect for my skincare routine', 'I need this for sure!!']","['skin', 'glow', 'skincare routine', 'healthy', 'beauty']"
true,To feel confident and attractive in social settings.,Emotional,"Users are driven by the desire to look good and feel confident, which is reinforced by compliments and positive comments about their appearance and skincare results.","Self-esteem, self-perception, social acceptance.",Highly important for personal confidence.,Comments on skincare posts praising appearance,"['Your skin is glowing!', 'Love the descriptions. So informative', 'Xấu nhưng tự nhiên , k pttm']","['confidence', 'attractiveness', 'self-esteem', 'social', 'appearance']"
true,To save time and simplify skincare routines.,Functional,"Users seek efficient skincare solutions that reduce the number of steps or products needed, aiming for convenience without compromising results.","Efficiency, ease of use, time-saving.",Major driver for product selection.,Descriptions of multi-use products and routines,"['I do this when I’m washing off makeup but I’m a slacker about it if not', 'You can use it nightly as a moisturizer after your oil', 'I definitely need to start a double cleansing routine']","['efficiency', 'time-saving', 'routine', 'multi-use', 'convenience']"
true,To feel safe and secure about the products used on my skin.,Emotional,"Users are motivated by concerns over harmful ingredients, health risks, and the desire for natural, safe skincare options supported by scientific evidence.","Safety, health, peace of mind.","Critical, especially in the context of health fears.",Post discussing aluminum-free antiperspirants and misinformation,"['Aluminum-containing antiperspirant has become persona non grata in many circles', 'It causes cancer! It causes Alzheimer’s disease!', 'The whole hullabaloo started when a mysterious email hoax hit inboxes in the nineties?']","['safety', 'health', 'natural', 'trust', 'protection']"
true,To learn and stay informed about skincare and health topics.,Emotional,"Users are driven by curiosity and the desire to make informed decisions, often seeking expert opinions and scientific evidence before adopting new products or habits.","Knowledge, control, empowerment.","Moderately strong, important for confidence in choices.",Discussion about researching anti-perspirant ingredients and skincare advice,"['She takes the time to research and get informed', 'She looks for scientific studies and expert opinions', 'Prefers not to speak on topics she is not well-informed about']","['learning', 'information', 'science', 'empowerment', 'trust']"
true,"To effortlessly maintain youthful, radiant skin at home.",Functional,"Users seek effective at-home skincare devices and routines that resemble professional treatments, aiming for convenience and visible results without frequent clinic visits.","Convenience, effectiveness, self-care.",Major driver for purchasing skincare tools.,Discussion about Foreo device and skincare routine,"['If you’re wondering where to start, Sofia’s got the ultimate Glow-Getter Starter Pack', 'Foreo Kiwi Derma with microdermabrasion and vacuum suction helps reduce wrinkles and pores', 'Self-care at home without spa visits']","['self-care', 'home treatment', 'efficacy', 'convenience', 'anti-aging']"
true,To express individuality and personal style through jewelry and accessories.,Social,Users are motivated by the desire to showcase their personality and aesthetic preferences via jewelry choices that symbolize their identity or mood.,"Self-expression, social recognition.","Moderately important, enhances personal identity.",Description of jewelry pieces and their symbolism,"['The necklace of vacation, with detailed stones and symbols', 'Perfect accessory for summer and more elaborate outfits', 'Jewelry that reflects personal stories and style']","['self-expression', 'style', 'identity', 'jewelry', 'aesthetic']"
true,To manage chronic skin conditions and improve quality of life.,Emotional,"Users with conditions like rosacea are motivated by a desire to find effective management strategies, reduce symptoms, and live comfortably with their condition.","Relief, control, comfort.",Very important for well-being and daily life.,Discussion about rosacea management and skincare solutions,"['Sharing journey with rosacea and solutions', 'Looking for ways to live better with chronic skin issues', 'Using specialized products to reduce symptoms']","['rosacea', 'management', 'relief', 'skin condition', 'comfort']"
true,To obtain an accurate diagnosis for health concerns,Functional,"The user emphasizes the importance of a proper diagnosis from medical professionals to effectively address health issues, driven by the need for accurate understanding and effective treatment.",Security and effective problem-solving in health,Critical,TEXT,"[""il faut vraiment avoir un bon diagnostique, c'est très important"", 'un médecin pour le diagnostic', ""avec les bons diagnostics et les bons gestes, on s'en sort!""]","['diagnosis', 'health', 'medical', 'treatment', 'medical consultation']"
true,To feel confident in skincare routines and products,Emotional,"Several excerpts show users wanting products that deliver visible results and feel good on the skin, driven by a desire for confidence and satisfaction with their appearance.","Belonging, self-esteem, and enjoyment",Important,TEXT,"['saving face — an anti-aging foaming facial mask that works wonders', 'you can keep smiling! 💫', 'Healthy skin loves laughter.']","['skincare', 'confidence', 'appearance', 'results', 'beauty']"
true,To avoid harmful chemicals in skincare and personal care products,Functional,"The user expresses concern about toxic ingredients like oxybenzone in sunscreens and prefers non-toxic, eco-friendly options to protect their health and the environment.","Safety, security, and environmental responsibility",Strong driver,TEXT,"['Toxic sunscreen hurts your body—and our oceans.', 'Most people don’t realize their chemical sunscreen is hurting more than it’s helping.', 'chemical filters like oxybenzone that damage hormones']","['toxic', 'safe', 'natural', 'environment', 'health']"
true,To maintain or improve skin health and appearance during hormonal changes,Emotional,"The user describes feelings of loneliness and concern about skin issues like rosacea and aging, driven by a desire for self-care and relief from hormonal-related skin problems.","Security, self-esteem, relief from pain or discomfort",High,TEXT,"['Atteinte de rosacee... je suis persuadée comme Elsa que les changements hormonaux y sont pour beaucoup', 'on se sent tellement seule', 'je suis très envie d’essayer les produits skin diligent comme Elsa']","['skin health', 'rosacea', 'hormonal changes', 'self-care', 'aging']"
true,To find effective and safe skincare solutions that fit into a busy routine,Functional,"Users seek products and routines that are convenient, effective, and compatible with their lifestyles, such as layering skincare or using devices that show immediate results.","Efficiency, control, and convenience",Important,TEXT,"['Skincare Order Matters! ... the right way to layer for glowing, healthy skin!', 'microcurrent devices use low-level electrical currents to stimulate facial muscles and boost cellular activity', 'Part 2! I’ve truly love my microcurrent device and it’s one of those things you really see an immediate difference with']","['efficiency', 'routine', 'effectiveness', 'skincare', 'technology']"
true,To protect the environment and oceans from harmful chemicals,Social,"The user advocates for eco-friendly and reef-safe products, driven by environmental consciousness and a desire to contribute positively to the planet.","Belonging, environmental responsibility",Strong,TEXT,"[""The chemical in your sun's cream is killing the coral reef."", 'That’s why we carry the #1 non-toxic (non-nano zinc) mineral sunscreen you can trust.', 'Save our oceans']","['environment', 'oceans', 'eco-friendly', 'sustainability', 'conservation']"
true,To feel empowered and confident in personal appearance and self-care choices,Emotional,"Many excerpts reflect users’ desires to look good and feel confident, whether through skincare, haircare, or beauty routines, driven by self-esteem and personal empowerment.","Self-esteem, control, enjoyment",High,TEXT,"['Thanks for supporting my small business journey! 💛', 'You deserve better.', 'Glow up your skincare routine']","['confidence', 'self-care', 'beauty', 'empowerment', 'self-esteem']"
true,To feel confident and fresh throughout the day,Emotional,"Users seek natural deodorants to maintain a sense of freshness and confidence, especially in social or active situations, without relying on synthetic or harmful ingredients.","Desire for personal confidence, feeling clean, and social acceptance",Critical for social comfort and self-esteem,Various social media posts and comments about deodorant use and effectiveness,"['Bebaskan dirimu untuk bergerak tanpa khawatir bau badan', 'Wangi bgt iniii😍', 'Sekali pake dua hari awetnya wowww']","['confidence', 'freshness', 'social']"
true,To avoid skin irritation and sensitivities,Emotional,"Many users mention allergies and sensitivities to ingredients like coconut oil, baking soda, or aluminum, indicating a motivation to prevent skin discomfort.","Desire for safe, gentle skincare that doesn't cause irritation",Important for users with sensitive skin or allergies,"Comments about allergies to coconut, Shea, and concerns about ingredients clogging pores","[""I'm allergic to Shea and Coconut Oil."", 'Wach cocok nich buat kulit sensitif apalagi no alkohol', 'Yang cephalikan, yang gala, meninger yang baru']","['skin sensitivity', 'allergy', 'gentle']"
true,To use environmentally friendly and sustainable products,Emotional / Social,"Users express interest in products that reduce waste, are refillable, and made from biodegradable materials, reflecting a desire to contribute positively to the environment.",Desire for environmental responsibility and sustainability,"High importance, aligns with eco-conscious values","Posts about wild refill products, biodegradable refills, and reducing plastic waste","['Help reduce the amount of single-use plastic', 'Made of waste sugarcane, so will fully decompose', 'Let’s pull the plug on bathroom waste']","['sustainability', 'eco-friendly', 'reusable']"
true,To avoid exposure to harmful chemicals like aluminum,Functional / Emotional,"Several posts emphasize health concerns related to aluminum in antiperspirants, with users seeking to avoid toxins linked to diseases like breast cancer and Alzheimer's.",Health safety and toxin avoidance,Critical for health-conscious users,Posts discussing aluminum's health risks and advocating for aluminum-free products,"['Many antiperspirants contain aluminum to help control sweat and body odor.', 'Products with aluminum add to your toxic load.', 'I recommend going aluminum-free if possible!']","['toxins', 'health', 'aluminum-free']"
true,To ensure natural and chemical-free living,Functional / Emotional,"Users are motivated to switch to natural deodorants that are free from parabens, sulfates, and synthetic chemicals to align with a holistic healthy lifestyle.","Health, safety, and aligning with natural living principles",Highly important for users committed to natural lifestyles,"Posts highlighting natural ingredients, vegan & cruelty-free products, and chemical-free living","[""Ever since I became a mum, I've been on a journey to healthier, clean and living"", 'They are smell amazing. They have so many different sense to choose from.', 'I’m trying to be more mindful of what I use on my body.']","['natural', 'chemical-free', 'healthy']"
true,To simplify the transition to healthier habits,Functional,"Many users mention small, manageable steps like switching to natural deodorants as part of a broader health and wellness journey, indicating motivation to make sustainable lifestyle changes easily.",Ease of transition and practicality in adopting healthy habits,Important for maintaining motivation and consistency,"Posts about health journeys, using discount codes, and easy swaps","['We are taking small, easy, realistic steps towards our goals.', ""It's so easy to switch to a natural deodorant."", 'Taking small, easy, realistic steps towards our goals.']","['ease', 'lifestyle change', 'practical']"
true,To avoid the negative effects of chemical ingredients like parabens and sulfates,Functional / Emotional,"Users seek products free from harmful chemicals to prevent potential health risks associated with parabens, sulfates, and synthetic additives.",Health safety and chemical avoidance,Very important for health-conscious consumers,"Posts emphasizing natural, vegan, cruelty-free, and chemical-free products","['Products are certified vegan and cruelty-free. They are smell amazing.', ""It's coming up two years now. It is a hormone-happy product and it's free from aluminum salts, parabens and sulfates."", 'I switched to a natural deodorant! Not only does it keep me smelling fresh but it’s also free from harmful chemicals.']","['chemical-free', 'health safety', 'parabens']"
